,Square/Suffix/,Premise Address,Owner Name,Neighborhood,Sub-Neighborhood,Use Code,Sale Price,Recordation Date,2020 Total Assessment,new_adress,location,point,latitude,longitude,altitude
0,,,,,,,,,,,"Nanno, Comunità della Val di Non, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38012, Italia","(46.3144754, 11.0480288, 0.0)",46.3144754,11.0480288,0.0
1,5788 0008,2419 SHANNON PL SE,REVIVAL TEMPLE INC,BARRY FARMS,,12.0,75000.0,2003-04-23 00:00:00,292350,"2419 SHANNON PL SE, DC, United States","2419, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86327815, -76.99383547217188, 0.0)",38.86327815,-76.99383547217188,0.0
2,5788 0009,2417 SHANNON PL SE,MICHAEL ENDALE,BARRY FARMS,,12.0,420000.0,2019-04-10 00:00:00,291850,"2417 SHANNON PL SE, DC, United States","2417, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86329975, -76.99374123591917, 0.0)",38.86329975,-76.99374123591917,0.0
3,5788 0010,2415 SHANNON PL SE,ZELDA I MIDDLETON,BARRY FARMS,,12.0,0.0,,265330,"2415 SHANNON PL SE, DC, United States","2415, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8633357, -76.9936695320343, 0.0)",38.8633357,-76.9936695320343,0.0
4,5788 0011,2413 SHANNON PL SE,DISTRICT OF COLUMBIA,BARRY FARMS,,91.0,0.0,2014-01-30 00:00:00,20880,"2413 SHANNON PL SE, DC, United States","2413, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86342056845045, -76.99331981717472, 0.0)",38.86342056845045,-76.99331981717472,0.0
5,5788 0012,2411 SHANNON PL SE,CHARLES THOMAS TRUSTEE,BARRY FARMS,,12.0,0.0,2016-06-16 00:00:00,327920,"2411 SHANNON PL SE, DC, United States","2411, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.863417150000004, -76.9935266169652, 0.0)",38.863417150000004,-76.9935266169652,0.0
6,5788 0013,2409 SHANNON PL SE,KRISTINA LESZCZAK,BARRY FARMS,,12.0,185000.0,2015-06-02 00:00:00,304520,"2409 SHANNON PL SE, DC, United States","2409, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86345645, -76.99346636999994, 0.0)",38.86345645,-76.99346636999994,0.0
7,5788 0014,2407 SHANNON PL SE,GARY A MASON,BARRY FARMS,,12.0,0.0,,296360,"2407 SHANNON PL SE, DC, United States","2407, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8634905, -76.99340096408302, 0.0)",38.8634905,-76.99340096408302,0.0
8,5788 0015,2405 SHANNON PL SE,KERMIT G FRAZIER SHELIA LONESOME,BARRY FARMS,,12.0,0.0,2019-11-04 00:00:00,337780,"2405 SHANNON PL SE, DC, United States","2405, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86354535, -76.99333712589168, 0.0)",38.86354535,-76.99333712589168,0.0
9,5788 0069,2401 SHANNON PL SE,ARRINGTON LIGGINS DIXON TRUSTEE,BARRY FARMS,,12.0,0.0,2019-07-09 00:00:00,411090,"2401 SHANNON PL SE, DC, United States","2401, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.863612, -76.99318464895177, 0.0)",38.863612,-76.99318464895177,0.0
10,5788 0819,2425 SHANNON PL SE,REVIVAL TEMPLE CHURCH INC,BARRY FARMS,,12.0,0.0,,226600,"2425 SHANNON PL SE, DC, United States","2425, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.86311605, -76.99404096258498, 0.0)",38.86311605,-76.99404096258498,0.0
11,5788 0821,2421 SHANNON PL SE,HIP DC LLC,BARRY FARMS,,12.0,164530.0,2017-07-07 00:00:00,210500,"2421 SHANNON PL SE, DC, United States","2421, Shannon Place Southeast, Hillsdale, Anacostia, Washington, District of Columbia, 20020, United States of America","(38.8632181, -76.9939155457321, 0.0)",38.8632181,-76.9939155457321,0.0
12,5788 0823,0850 HOWARD RD SE,WMATA,BARRY FARMS,,63.0,0.0,,3488010,"0850 HOWARD RD SE, DC, United States","850, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86427228030299, -76.99778884204186, 0.0)",38.86427228030299,-76.99778884204186,0.0
13,5788 0824,0805 HOWARD RD SE,NATIONAL PARK SERVICE,BARRY FARMS,,63.0,0.0,,1877340,"0805 HOWARD RD SE, DC, United States","805, Howard Road Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.864231736438626, -76.99831422227871, 0.0)",38.864231736438626,-76.99831422227871,0.0
14,5789 0017,2401 MARTIN LUTHER KING JR AVE SE,LEVI WILSON,BARRY FARMS,,42.0,0.0,,615250,"2401 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
15,5789 0018,2403 MARTIN LUTHER KING JR AVE SE,HMB MANAGEMENT LLC,BARRY FARMS,,42.0,290000.0,2013-03-01 00:00:00,360540,"2403 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
16,5789 0021,MARTIN LUTHER KING JR AV SE,ACME BOOK SHOP LLC,BARRY FARMS,,191.0,0.0,2019-06-20 00:00:00,177190,"MARTIN LUTHER KING JR AV SE, DC, United States",,,,,
17,5789 0030,2423 MARTIN LUTHER KING JR AVE SE,DISTRICT OF COLUMBIA,BARRY FARMS,,83.0,0.0,,19701700,"2423 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
18,5789 0031,2427 MARTIN LUTHER KING JR AVE SE,THURGOOD MARSHALL ACADEMY JOSHUA M KERN,BARRY FARMS,,83.0,0.0,2005-01-03 00:00:00,8192800,"2427 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
19,5789 0808,2405 - 2407 MARTIN LUTHER KING JR AV SE,CEDAR TREE ACADEMY PUBLIC CHARTER SCHOOL,BARRY FARMS,,83.0,0.0,2015-11-23 00:00:00,2904520,"2405 - 2407 MARTIN LUTHER KING JR AV SE, DC, United States",,,,,
20,5789 0809,2415 MARTIN LUTHER KING JR AV SE,POTOMAC ELECTRIC POWER COMPANY,BARRY FARMS,,84.0,0.0,,723850,"2415 MARTIN LUTHER KING JR AV SE, DC, United States",,,,,
21,5806 0240,2406 MARTIN LUTHER KING JR AVE SE,BETHUEL TEMPLE CHURCH OF CHRIST OF APOSTOLIC FAITH INC BISHOP W R PALMER JR,BARRY FARMS,,81.0,0.0,,630350,"2406 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
22,5806 0241,2408 MARTIN LUTHER KING JR AVE SE,2408 MLK JR AVE SE LLC,BARRY FARMS,,42.0,276410.0,2016-06-24 00:00:00,336040,"2408 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
23,5806 0242,2410 MARTIN LUTHER KING JR AVE SE,PATRICA A JONES,BARRY FARMS,,49.0,0.0,,358100,"2410 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
24,5806 0243,2412 MARTIN LUTHER KING JR AVE SE,DISTRICT OF COLUMBIA,BARRY FARMS,,49.0,0.0,2012-12-04 00:00:00,528000,"2412 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
25,5806 0244,MARTIN LUTHER KING JR AVE SE,LDH GROUP LLC,BARRY FARMS,,191.0,80000.0,2019-09-10 00:00:00,170360,"MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
26,5806 0245,2418 MARTIN LUTHER KING JR AVE SE,CATRINA ROBINSON TROYIT BARBER SHOP,BARRY FARMS,,41.0,0.0,2013-04-30 00:00:00,220730,"2418 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
27,5806 0274,1223 TALBERT ST SE,1223 TALBERT STREET SE LLC,BARRY FARMS,,91.0,40980.0,2016-07-28 00:00:00,101230,"1223 TALBERT ST SE, DC, United States","1223, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8622328, -76.9917098, 0.0)",38.8622328,-76.9917098,0.0
28,5806 0275,1231 TALBERT ST SE,DAMIAN J CRISTODERO,BARRY FARMS,,12.0,420000.0,2016-09-29 00:00:00,476000,"1231 TALBERT ST SE, DC, United States","1231, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.861979000000005, -76.99160183144821, 0.0)",38.861979000000005,-76.99160183144821,0.0
29,5806 0286,1239 TALBERT ST SE,NADER KHORRAMSHAHGOL,BARRY FARMS,,91.0,200000.0,2004-09-08 00:00:00,184560,"1239 TALBERT ST SE, DC, United States","1239, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.861883063857945, -76.99126025154644, 0.0)",38.861883063857945,-76.99126025154644,0.0
30,5806 0287,1241 TALBERT ST SE,FIELDS BARBARA J,BARRY FARMS,,12.0,0.0,,561630,"1241 TALBERT ST SE, DC, United States","1241, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86167685, -76.9912886825592, 0.0)",38.86167685,-76.9912886825592,0.0
31,5806 0296,1205 TALBERT ST SE,RALPH K GREEN,BARRY FARMS,,13.0,0.0,2015-04-07 00:00:00,224540,"1205 TALBERT ST SE, DC, United States","1205, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8625284, -76.99223239411765, 0.0)",38.8625284,-76.99223239411765,0.0
32,5806 0297,1207 TALBERT ST SE,TEGAN N HARE,BARRY FARMS,,13.0,375000.0,2016-05-25 00:00:00,423770,"1207 TALBERT ST SE, DC, United States","1207, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86249515, -76.99218716785714, 0.0)",38.86249515,-76.99218716785714,0.0
33,5806 0301,1215 TALBERT ST SE,MICAH WINOGRAD,BARRY FARMS,,11.0,390000.0,2016-04-21 00:00:00,404570,"1215 TALBERT ST SE, DC, United States","1215, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86236235, -76.99199980824469, 0.0)",38.86236235,-76.99199980824469,0.0
34,5806 0302,1217 TALBERT ST SE,AAMIL A AZIM,BARRY FARMS,,11.0,100000.0,2016-04-28 00:00:00,235020,"1217 TALBERT ST SE, DC, United States","1217, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86232535, -76.99196052803738, 0.0)",38.86232535,-76.99196052803738,0.0
35,5806 0313,1245 TALBERT ST SE,KAREN E FIELDS,BARRY FARMS,,12.0,0.0,,385580,"1245 TALBERT ST SE, DC, United States","1245, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8615377, -76.991147074, 0.0)",38.8615377,-76.991147074,0.0
36,5806 0314,2420 MARTIN LUTHER KING JR AVE SE,2420 MLK JR AVE SE LLC,BARRY FARMS,,41.0,0.0,,721170,"2420 MARTIN LUTHER KING JR AVE SE, DC, United States",,,,,
37,5806 0809,1203 TALBERT ST SE,YANG S HONG,BARRY FARMS,,42.0,1000000.0,2016-05-16 00:00:00,943950,"1203 TALBERT ST SE, DC, United States","1203, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8625848, -76.99216179999999, 0.0)",38.8625848,-76.99216179999999,0.0
38,5806 0812,1227 TALBERT ST SE,C SAVAGE-EL,BARRY FARMS,,12.0,0.0,1999-03-31 00:00:00,343570,"1227 TALBERT ST SE, DC, United States","1227, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.8620449, -76.9917349596607, 0.0)",38.8620449,-76.9917349596607,0.0
39,5806 0813,1225 TALBERT ST SE,A AZIM,BARRY FARMS,,12.0,0.0,,464770,"1225 TALBERT ST SE, DC, United States","1225, Talbert Street Southeast, Hillsdale, Washington, District of Columbia, 20020, United States of America","(38.86211685, -76.99183187375057, 0.0)",38.86211685,-76.99183187375057,0.0
